iter	Passed	Remaining
442	1223	4300
443	1228	4306
444	1231	4303
445	1234	4301
446	1236	4296
447	1238	4290
448	1245	4301
449	1246	4294
450	1248	4288
451	1250	4281
452	1251	4275
453	1257	4282
454	1260	4279
455	1262	4273
456	1263	4266
457	1265	4259
458	1269	4260
459	1270	4254
460	1272	4248
461	1275	4247
462	1277	4241
463	1279	4236
464	1283	4237
465	1285	4231
466	1287	4225
467	1289	4220
468	1290	4213
469	1294	4213
470	1297	4210
471	1299	4205
472	1300	4199
473	1302	4193
474	1304	4186
475	1308	4190
476	1312	4191
477	1314	4185
478	1316	4181
479	1318	4176
480	1322	4176
481	1324	4171
482	1326	4166
483	1328	4160
484	1330	4155
485	1333	4152
486	1342	4172
487	1346	4173
488	1349	4169
489	1352	4168
490	1354	4163
491	1360	4169
492	1362	4164
493	1364	4159
494	1366	4154
495	1368	4148
496	1373	4152
497	1375	4147
498	1377	4144
499	1379	4138
500	1382	4136
501	1384	4132
502	1386	4126
503	1388	4120
504	1390	4115
505	1391	4109
506	1395	4109
507	1397	4105
508	1400	4102
509	1402	4097
510	1404	4091
511	1407	4091
512	1410	4088
513	1412	4083
514	1414	4077
515	1416	4072
516	1421	4076
517	1422	4070
518	1424	4065
519	1426	4059
520	1427	4053
521	1431	4054
522	1434	4051
523	1436	4046
524	1438	4040
525	1439	4034
526	1441	4029
527	1447	4035
528	1450	4034
529	1454	4035
530	1460	4039
531	1462	4035
532	1464	4030
533	1466	4024
534	1468	4020
535	1471	4017
536	1473	4013
537	1474	4007
538	1476	4002
539	1478	3997
540	1490	4018
541	1498	4030
542	1501	4027
543	1505	4030
544	1510	4033
545	1512	4027
546	1514	4022
547	1516	4017
548	1518	4013
549	1521	4009
550	1523	4006
551	1525	4000
552	1526	3995
553	1528	3989
554	1530	3985
555	1533	3982
556	1536	3980
557	1538	3974
558	1539	3969
559	1544	3972
560	1546	3967
561	1548	3961
562	1550	3956
563	1551	3950
564	1555	3951
565	1557	3946
566	1561	3946
567	1563	3941
568	1565	3937
569	1567	3932
570	1575	3942
571	1577	3939
572	1582	3941
573	1584	3937
574	1587	3933
575	1589	3928
576	1590	3923
577	1592	3918
578	1597	3921
579	1599	3916
580	1601	3911
